Date,Open,High,Low,Close,Volume,Quarter_Sin,Quarter_Cos,Pct_Price,Pct_PriceN,GARCH_Sig,EMA_SHORT,EMA_LONG,DEMA_SHORT,DEMA_LONG,MACD_HIST,RSI,PLUS_DI,MINUS_DI,EPS,Pct_Surprise,Pct_EPS,Pct_EPS_YTY,PCT_REALGDP,INFLATION,FFR,T10Y2Y,Label
2015-03-11,83.5041,84.0544,82.8003,82.9159,9915905.5899759,0.0,1.0,-2.1010586171149925,-5.1671151970007045,1.494740056221249,85.16745169063299,85.14561092744533,84.07541844103488,86.72710778887183,-0.4707018475338387,55.961094956382205,12.644839323628494,15.253256438269485,0.69,2.9851,-20.6896551724138,21.052631578947366,3.6,-0.543199001688326,0.11,1.41,0
2015-03-12,83.6407,85.3383,83.5928,84.0055,7379814.4232621,0.0,1.0,1.3141026027577496,-5.0575042608306475,1.5236523386411953,84.78013446042199,85.0370289343553,83.79390080721592,86.36966619618354,-0.5471109847539823,57.635545734354025,17.87315964559445,13.277136776704388,0.69,2.9851,-20.6896551724138,21.052631578947366,3.6,-0.543199001688326,0.11,1.43,0
2015-03-13,85.0871,85.0871,83.2748,83.6596,4835644.9005749,0.0,1.0,-0.4117587538911116,-3.344597912298042,1.46162831541757,84.40662297361466,84.90584522632146,83.50012621360572,85.99287463213544,-0.6009876201782143,50.55163316024288,16.1437243165458,11.992419923861666,0.69,2.9851,-20.6896551724138,21.052631578947366,3.6,-0.543199001688326,0.11,1.45,0
2015-03-16,84.3744,84.78,83.8291,84.5728,4031853.9985329,0.0,1.0,1.0915662996237252,-2.6459801499687963,1.3957208959227585,84.46201531574312,84.87412663333846,83.89461237048945,85.82893165447126,-0.5561944248814923,53.59803398210001,15.142547812086143,14.316857472449126,0.69,2.9851,-20.6896551724138,21.052631578947366,3.6,-0.543199001688326,0.11,1.44,0
2015-03-17,84.141,84.4312,83.6596,83.8669,3021741.5037321,0.0,1.0,-0.8346655189375274,-0.9782113314300456,1.3713826213065023,84.26364354382875,84.77820028730623,83.75312706571673,85.55528099334961,-0.5539645244421841,51.01847734562003,14.341322580249622,13.559321317378984,0.69,2.9851,-20.6896551724138,21.052631578947366,3.6,-0.543199001688326,0.11,1.36,0
2015-03-18,83.6307,85.0961,83.1511,84.7312,5703319.3172646,0.0,1.0,1.0305615206952945,2.1893267756847745,1.3560693566372752,84.41949569588584,84.77372406946755,84.18305281184922,85.47274717784322,-0.4770602747640096,52.501227103622604,16.539268225951215,12.057456744165544,0.69,2.9851,-20.6896551724138,21.052631578947366,3.6,-0.543199001688326,0.11,1.36,0
2015-03-19,84.7033,85.4879,84.51,84.8668,3327609.5483313,0.0,1.0,0.1600355005004106,1.0252900107730945,1.345361567346077,84.56859713059056,84.78258844380397,84.51036949770263,85.42305807101968,-0.4027996522702062,49.57534673523452,15.580289697315022,19.41557010749133,0.69,2.9851,-20.6896551724138,21.052631578947366,3.6,-0.543199001688326,0.11,1.35,0
2015-03-20,85.3931,86.1447,85.2107,85.6283,4585794.6821611,0.0,1.0,0.8972884567345574,2.3532266470315477,1.3173722792687075,84.92183142039372,84.86313240153693,85.11850252500386,85.51547802601429,-0.29322733095200604,47.659053916067634,14.376338198533753,22.152351068963096,0.69,2.9851,-20.6896551724138,21.052631578947366,3.6,-0.543199001688326,0.11,1.33,0
2015-03-23,85.7441,86.4229,85.1519,85.1619,3561307.0673927,0.0,1.0,-0.5446797378903856,0.6965596503840432,1.3110893368117318,85.00185428026248,84.89158645853341,85.18631692324841,85.50754807510498,-0.24495966805580938,45.71169119159549,14.964492623052827,20.417911567991982,0.69,2.9851,-20.6896551724138,21.052631578947366,3.6,-0.543199001688326,0.11,1.32,0
2015-03-24,85.2406,85.7441,84.8867,85.3183,4248562.1922787,0.0,1.0,0.18365020038302315,1.7305993186823354,1.3066850670349914,85.10733618684165,84.93222584343499,85.30063255321838,85.52629341619641,-0.19734289437809305,45.621661281163455,14.139092573329492,19.291716003064828,0.69,2.9851,-20.6896551724138,21.052631578947366,3.6,-0.543199001688326,0.11,1.3,0
2015-03-25,85.3931,85.441,83.2917,83.2917,4000074.2497139,0.0,1.0,-2.3753403431620024,-1.6989019393092497,1.2924813759842653,84.5021241245611,84.77598528691738,84.22751366062522,85.17211449209034,-0.29149441115118635,37.75363863640768,12.264781904058125,16.734361707124823,0.69,2.9851,-20.6896551724138,21.052631578947366,3.6,-0.543199001688326,0.11,1.34,0
2015-03-26,82.6627,84.18,82.5212,83.8291,4344435.1138106,0.0,1.0,0.6452023430906006,-1.2227396343446495,1.441833325344377,84.27778274970741,84.68580573578238,83.94514819051436,84.96261732753102,-0.3052751030286418,41.99424252965701,11.018786373601046,15.03429561094495,0.69,2.9851,-20.6896551724138,21.052631578947366,3.6,-0.543199001688326,0.11,1.4,0
2015-03-27,83.8011,84.1999,82.8193,83.1801,5168370.2436315,0.0,1.0,-0.7741941640790673,-2.8591014886433563,1.3817801089818238,83.91188849980495,84.5424051895174,83.4462026270746,84.66311042114546,-0.34297600490606917,42.92148032112786,10.077049485876522,15.594764773017289,0.69,2.9851,-20.6896551724138,21.052631578947366,3.6,-0.543199001688326,0.11,1.37,0
2015-03-30,83.6207,84.17,83.3964,83.5828,3619838.7840622,0.0,1.0,0.48413021864606165,-1.8542329374990452,1.3586396175082716,83.80219233320331,84.45101421908717,83.41860430698198,84.47753664588521,-0.32579453869668007,38.49186517852184,9.437820195342935,18.303661035297136,0.69,2.9851,-20.6896551724138,21.052631578947366,3.6,-0.543199001688326,0.11,1.38,0
